NP_ID	Noun	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF
MT00001	jetən	jetən	вечер	n	n	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
MT00002	xătəł	jetən xătəł	вечер солнце	n	n	s	0	n	n	nul	nul	nul	1	s	non	gen	0	0
MT00003	pԑlək	jetən xătəł pԑlək	вечер солнце сторона	n	n	s	0	n	n	nul	nul	nul	1	s	non	gen	1	1
MT00004	pox	jetən xătəł pԑlək pox	вечер солнце сторона мальчик	n	n	s	0	n	n	nul	nul	nul	1	s	hum	nul	1	1
MT00005	ałəŋ	ałəŋ	утро	n	n	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
MT00006	xătəł	ałəŋ xătəł	утро солнце	n	n	s	0	n	n	nul	nul	nul	1	s	non	gen	0	0
MT00007	pԑlək	ałəŋ xătəł pԑlək	утро солнце сторона	n	n	s	0	n	n	nul	nul	nul	1	s	non	gen	1	1
MT00008	ewi	ałəŋ xătəł pԑlək ewi	утро солнце сторона девочка	n	n	s	0	n	n	nul	nul	nul	1	s	hum	nul	1	1
MT00101	jetən	jetən	вечер	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
MT00102	xătəł	jetən xătəł	вечер солнце	i	sbj	s	0	n	n	nul	nul	nul	1	s	non	gen	0	0
MT00103	pԑlək	jetən xătəł pԑlək	вечер солнце сторона	i	sbj	s	0	n	n	nul	nul	nul	1	s	non	gen	1	1
MT00104	imԑ -ŋən ikԑ -ŋən	kǫńar imԑ -ŋən ikԑ -ŋən	бедный жена DU муж DU	i	sbj	s	0	n	n	nul	nul	nul	1	d	hum	sbj	0	1
MT00105	imԑ -ŋən	imԑ -ŋən	жена DU	i	sbj	s	i	n	n	nul	nul	nul	1	d	hum	sbj	0	1
MT00106	ikԑ -ŋən	kǫńar imԑ -ŋən ikԑ -ŋən	муж DU	i	sbj	s	i	n	n	nul	nul	nul	1	d	hum	sbj	0	1
MT00107	ałəŋ	ałəŋ	утро	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
